S1	S2	Pdb	Substance
1	6271	A1CF	SET
1	7948	A1CF	HEPATOCYTES
1	7945	A1CF	IL-6
1	6622	A1CF	SP1
2	6271	A2M	SET
2	2	A2M	A2M
2	3841	A2M	LRP1
2	1218	A2M	CDX2
2	810	A2M	C3
2	4120	A2M	MET
2	6761	A2M	STAT5B
2	7948	A2M	HEPATOCYTES
2	7944	A2M	INTERLEUKIN
2	4531	A2M	NGF
2	10132	A2M	PHEOCHROMOCYTOMA
2	942	A2M	CAT
3	6271	AAMP	SET
3	3	AAMP	AAMP
3	5879	AAMP	RHOA
3	2747	AAMP	GNA12
3	4586	AAMP	NOD2
4	6271	AARS	SET
4	636	AARS	BCR
4	3421	AARS	ISG15
5	5	AATF	AATF
5	208	AATF	AKT1
5	7374	AATF	TSG101
5	2977	AATF	HDAC1
5	1727	AATF	DAP
5	7716	AATF	WT1
5	2297	AATF	F13A1
5	6271	AATF	SET
5	9729	AATF	OBESITY
5	10071	AATF	RETINOBLASTOMA
5	13270	AATF	DOXORUBICIN
5	2645	AATF	GC
5	5831	AATF	REST
5	6622	AATF	SP1
5	9737	AATF	NEUROBLASTOMA
5	3218	AATF	ID2
5	6614	AATF	SOX2
5	3219	AATF	ID3
5	6684	AATF	SRC
6	6	ABAT	ABAT
6	7341	ABAT	TRIO
6	15166	ABAT	VIGABATRIN
6	11264	ABAT	NARCOLEPSY
6	6271	ABAT	SET
6	9737	ABAT	NEUROBLASTOMA
6	2645	ABAT	GC
6	5831	ABAT	REST
6	13205	ABAT	DIAZEPAM
6	14434	ABAT	PHENELZINE
7	7	ABCA1	ABCA1
7	898	ABCA1	CAMP
7	6271	ABCA1	SET
7	20	ABCA1	ABCG1
7	7840	ABCA1	ZNF202
7	4106	ABCA1	MEGF10
7	869	ABCA1	CAD
7	6357	ABCA1	SHE
7	6598	ABCA1	SON
7	2498	ABCA1	FOS
7	5059	ABCA1	PI3
7	7036	ABCA1	TG
7	3089	ABCA1	HMGCR
7	3741	ABCA1	LCAT
7	9729	ABCA1	OBESITY
7	7632	ABCA1	VLDLR
7	22	ABCA1	ABCG8
8	8	ABCB1	ABCB1
